town.id,gis.name,gis.join,year,cbsa,state.name,co.pre100pct,co.pub.pre100pct,co.priv.pre100pct,co.bwf.pre100pct,nn5.co.pre100pct,nn10.co.pre100pct,co.pre100,co.pub.pre100,co.priv.pre100,co.bwf.pre100,nn5.co.pre100,nn10.co.pre100,l5.co.pre100,l5.co.pub.pre100,l5.co.priv.pre100,l5.co.bwf.pre100,l5.nn5.co.pre100,l5.nn10.co.pre100,unemp.r.pre,emp.n.pre,labf.n.pre,i.units.pre,r.units.pre,ln.unempr.pre,ln.emp.n.pre,ln.labf.n.pre,ln.r.units.pre,mhhi.ia.pre,ln.mhhi.ia.pre,agricu.pre,arts.pre,ln.agricu.pre,ln.arts.pre,popcen.pre,ln.popcen.pre,for.pct,agg.pct,hiden.pct,loden.pct,other.pct,ndata.pct,urban90,suburb90,exurb90,rural90,ctydist100,ctydist30,ln.ctydist100,ln.ctydist30,ln.pop.cen90
1,Andover,G090013001080,1990,25540,Connecticut,16.51504707,14.77032757,1.744718671,0,10.7633152,12.64236546,2.863060236,2.758130074,1.009678602,0,2.464985847,2.613180161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86036.89063,11.36254311,NA,NA,NA,NA,2535.629883,7.838591576,80.08436022,4.895397303,0.591167381,7.266709158,7.142718996,0,0,0,1,0,25.6661,13.1131,3.283393145,2.647103548,7.838591576
1,Andover,G090013001080,1995,25540,Connecticut,17.04864693,14.98509598,2.063550472,0,11.82887459,13.32448864,2.893070698,2.771656752,1.119574547,0,2.551698446,2.661970615,2.863060236,2.758130074,1.009678602,0,2.464985847,2.613180161,5.900000095,1488.599976,1582.199951,77,77,1.931521416,7.30626297,7.367203236,4.356709003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079707962,0,0,1,0,25.6661,13.1131,3.283393145,2.647103548,7.838591576
1,Andover,G090013001080,2000,25540,Connecticut,19.11219788,16.97779655,2.134401798,0,12.85614204,14.37037563,3.001326561,2.889137506,1.142438412,0,2.628728628,2.732441902,2.893070698,2.771656752,1.119574547,0,2.551698446,2.661970615,3.5,1528.800049,1583.599976,128,128,1.504077435,7.332892418,7.368087292,4.85981226,94043.39844,11.45152187,0.002815315,0.04617117,0.00281136,0.045136996,3025.709961,8.015231133,80.96336191,4.74705193,0.595595601,7.260066828,6.414276792,0,0,0,1,0,25.6661,13.1131,3.283393145,2.647103548,7.838591576
1,Andover,G090013001080,2005,25540,Connecticut,19.15648079,16.97779655,2.178683996,0,14.56450844,15.92538548,3.003525972,2.889137506,1.156467319,0,2.74499321,2.828814507,3.001326561,2.889137506,1.142438412,0,2.628728628,2.732441902,3.019999981,1813.800049,1870.199951,74,74,1.391281843,7.503730774,7.534335136,4.317488194,NA,NA,NA,NA,NA,NA,NA,NA,80.59360553,4.7182685,0.597809711,7.37520055,6.695468767,0,0,0,1,0,25.6661,13.1131,3.283393145,2.647103548,7.838591576
1,Andover,G090013001080,2010,25540,Connecticut,19.15648079,16.97779655,2.178683996,0,14.85653782,16.24998093,3.003525972,2.889137506,1.156467319,0,2.763581991,2.847810984,3.003525972,2.889137506,1.156467319,0,2.74499321,2.828814507,4.239999771,1886.800049,1970.199951,37,37,1.656321406,7.543167591,7.586397648,3.637586117,93945.66406,11.45048237,0.036317136,0.037851662,0.035673212,0.037152868,3303,8.102889061,80.31462767,4.73155316,0.611094372,7.496976603,6.82610126,0,0,0,1,0,25.6661,13.1131,3.283393145,2.647103548,7.838591576
1,Andover,G090013001080,2015,25540,Connecticut,19.15648079,16.97779655,2.178683996,0,14.85653782,16.24998093,3.003525972,2.889137506,1.156467319,0,2.763581991,2.847810984,3.003525972,2.889137506,1.156467319,0,2.763581991,2.847810984,6.539999962,1798.599976,1924.400024,17,17,2.020222187,7.495319843,7.562889099,2.890371799,104871.5781,11.5605011,0.012948793,0.0541495,0.012865675,0.052734282,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,25.6661,13.1131,3.283393145,2.647103548,7.838591576
2,Ansonia,G090009001220,1990,35300,Connecticut,6.009809971,4.73483181,1.274978518,0,7.642082691,9.538033485,1.947310567,1.746558428,0.821970582,0,2.156643629,2.354990959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60900.55859,11.0170145,NA,NA,NA,NA,18403,9.82032299,34.50866715,3.25203748,15.91757205,42.75951871,3.605886118,0,0,1,0,0,12.4991,7.17903,2.602622986,2.101573467,9.82032299
2,Ansonia,G090009001220,1995,35300,Connecticut,6.234476089,4.858397484,1.376078129,0,8.126554489,9.880954742,1.978857994,1.767876148,0.865451276,0,2.211188316,2.387013912,1.947310567,1.746558428,0.821970582,0,2.156643629,2.354990959,8.520000458,8737.200195,9551,172,172,2.253394842,9.07545948,9.164505959,5.153291702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146032771,0,1,0,0,12.4991,7.17903,2.602622986,2.101573467,9.82032299
2,Ansonia,G090009001220,2000,35300,Connecticut,7.290405273,5.066213608,2.224191427,0,9.637311935,11.39481258,2.115098953,1.802734613,1.170682192,0,2.364367723,2.517277956,1.978857994,1.767876148,0.865451276,0,2.211188316,2.387013912,6.360000134,8270,8832,138,138,1.996059895,9.020510674,9.086250305,4.934473991,59988.00781,11.00191689,0,0.057287648,0,0.055706806,18554,9.828495026,33.21122214,3.20710432,16.02990495,44.04011378,3.555336312,0,0,1,0,0,12.4991,7.17903,2.602622986,2.101573467,9.82032299
2,Ansonia,G090009001220,2005,35300,Connecticut,22.96084404,20.56253624,2.398307323,0,12.89112759,13.36868572,3.176420927,3.070957422,1.22327745,0,2.631250381,2.665051222,2.115098953,1.802734613,1.170682192,0,2.364367723,2.517277956,5.119999886,9185.200195,9680.599609,116,116,1.811562061,9.125457764,9.17798233,4.762174129,NA,NA,NA,NA,NA,NA,NA,NA,32.9697064,3.280120705,16.10292134,44.09066359,3.600269473,0,0,1,0,0,12.4991,7.17903,2.602622986,2.101573467,9.82032299
